n=19 p= 3 N= 5 v=2 q=171 m=47 d=9 t=18 delta=0 p|n-1=True | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p= 3 N= 7 v=2 q=171 m=66 d=9 t=18 delta=0 p|n-1=True | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p= 5 N= 1 v=1 q=95 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p= 7 N= 1 v=1 q=133 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=11 N= 1 v=1 q=209 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=13 N= 1 v=1 q=247 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=17 N= 1 v=1 q=323 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=23 N= 1 v=1 q=437 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=29 N= 1 v=1 q=551 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=19 p=31 N= 1 v=1 q=589 m=9 d=9 t=18 delta=0 p|n-1=False | W=[1, 9, 9] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=23 p= 5 N= 1 v=1 q=115 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p= 7 N= 1 v=1 q=161 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=11 N= 1 v=1 q=253 m=11 d=11 t=11 delta=1 p|n-1=True | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=11 N= 3 v=1 q=253 m=34 d=11 t=11 delta=1 p|n-1=True | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=11 N= 5 v=1 q=253 m=57 d=11 t=11 delta=1 p|n-1=True | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=13 N= 1 v=1 q=299 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=17 N= 1 v=1 q=391 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=19 N= 1 v=1 q=437 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=29 N= 1 v=1 q=667 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=23 p=31 N= 1 v=1 q=713 m=11 d=11 t=11 delta=1 p|n-1=False | W=[1, 10, 11] | d-W1=1 pred=1 W2full=True OK  [0.0s]
n=29 p= 3 N= 1 v=2 q=261 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p= 5 N= 1 v=1 q=145 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p= 7 N= 1 v=1 q=203 m=14 d=14 t=28 delta=0 p|n-1=True | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p= 7 N= 3 v=1 q=203 m=43 d=14 t=28 delta=0 p|n-1=True | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=29 p= 7 N= 5 v=1 q=203 m=72 d=14 t=28 delta=0 p|n-1=True | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.1s]
n=29 p=11 N= 1 v=1 q=319 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p=13 N= 1 v=1 q=377 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.0s]
n=29 p=17 N= 1 v=1 q=493 m=14 d=14 t=28 delta=0 p|n-1=False | W=[1, 14, 14] | d-W1=0 pred=0 W2full=True OK  [0.1s]
