p=5 a=1 n= 9 M=7 v=3 q=1125 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=31)=3 OK [0.0s]
p=5 a=1 n= 9 M=7 v=4 q=5625 m=157 d=3 | W[0..P]=[1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=31)=3 OK [0.1s]
p=5 a=1 n=11 M=1 v=2 q=275 m=27 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=5 a=1 n=11 M=1 v=3 q=1375 m=27 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.0s]
p=5 a=1 n=11 M=3 v=2 q=275 m=82 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=16)=5 OK [0.0s]
p=5 a=1 n=11 M=3 v=3 q=1375 m=82 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=16)=5 OK [0.0s]
p=5 a=1 n=11 M=7 v=3 q=1375 m=192 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.1s]
p=5 a=1 n=11 M=7 v=4 q=6875 m=192 d=5 | W[0..P]=[1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=38)=5 OK [0.5s]
p=5 a=1 n=13 M=1 v=2 q=325 m=32 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
p=5 a=1 n=13 M=1 v=3 q=1625 m=32 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.0s]
p=5 a=1 n=13 M=3 v=2 q=325 m=97 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=19)=6 OK [0.0s]
p=5 a=1 n=13 M=3 v=3 q=1625 m=97 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=19)=6 OK [0.0s]
p=5 a=1 n=13 M=7 v=3 q=1625 m=227 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.1s]
p=5 a=1 n=13 M=7 v=4 q=8125 m=227 d=6 | W[0..P]=[1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=45)=6 OK [0.8s]
p=5 a=2 n= 7 M=1 v=3 q=875 m=87 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=3)=2 OK [0.1s]
p=5 a=2 n= 7 M=3 v=3 q=875 m=262 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=10)=2 OK [0.2s]
p=5 a=2 n= 9 M=1 v=3 q=1125 m=112 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=4)=3 OK [0.1s]
p=5 a=2 n= 9 M=3 v=3 q=1125 m=337 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=13)=3 OK [0.3s]
p=5 a=2 n=11 M=1 v=3 q=1375 m=137 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=5)=5 OK [0.2s]
p=5 a=2 n=11 M=3 v=3 q=1375 m=412 d=5 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5] | stair OK | W_P=5 rank(m'=16)=5 OK [0.6s]
p=5 a=2 n=13 M=1 v=3 q=1625 m=162 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=6)=6 OK [0.4s]
p=5 a=2 n=13 M=3 v=3 q=1625 m=487 d=6 | W[0..P]=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 6] | stair OK | W_P=6 rank(m'=19)=6 OK [1.1s]
p=7 a=1 n= 5 M=1 v=2 q=245 m=17 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=7 a=1 n= 5 M=1 v=3 q=1715 m=17 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=2)=2 OK [0.0s]
p=7 a=1 n= 5 M=3 v=2 q=245 m=52 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=7)=2 OK [0.0s]
p=7 a=1 n= 5 M=3 v=3 q=1715 m=52 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=7)=2 OK [0.0s]
p=7 a=1 n= 5 M=5 v=2 q=245 m=87 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=7 a=1 n= 5 M=5 v=3 q=1715 m=87 d=2 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 2] | stair OK | W_P=2 rank(m'=12)=2 OK [0.0s]
p=7 a=1 n= 9 M=1 v=2 q=441 m=31 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=4)=3 OK [0.0s]
p=7 a=1 n= 9 M=1 v=3 q=3087 m=31 d=3 | W[0..P]=[1, 0, 0, 0, 0, 0, 1, 3] | stair OK | W_P=3 rank(m'=4)=3 OK [0.0s]
