p=3 a=2 n=11 M=13 v=5 q=2673 m=643 d=5 | W=[1, 0, 0, 0, 0, 0, 1, 0, 1, 5] | ladder OK | W_P=5 W1(A_71(297))=5 rank=5 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 1.0s
p=11 a=1 n=19 M= 3 v=2 q=2299 m=313 d=9 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_28(209))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 0.8s
p=7 a=1 n=25 M= 5 v=2 q=1225 m=437 d=10 | W=[1, 0, 0, 0, 0, 0, 1, 10] | ladder OK | W_P=10 W1(A_62(175))=10 rank=10 OK | dB[P]=12 1+a+W1=12 OK | m^2=0 True | 0.9s
p=3 a=1 n=31 M=13 v=4 q=2511 m=604 d=15 | W=[1, 0, 1, 12] | ladder OK | W_P=12 W1(A_201(837))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 1.2s
p=7 a=1 n=31 M= 3 v=2 q=1519 m=325 d=15 | W=[1, 0, 0, 0, 0, 0, 1, 12] | ladder OK | W_P=12 W1(A_46(217))=12 rank=12 OK | dB[P]=14 1+a+W1=14 OK | m^2=0 True | 1.1s
p=5 a=2 n=21 M= 1 v=3 q=2625 m=262 d=6 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 5] | ladder OK | W_P=5 W1(A_10(105))=5 rank=5 OK | dB[P]=8 1+a+W1=8 OK | m^2=0 True | 1.2s
p=7 a=1 n=17 M=11 v=3 q=5831 m=654 d=8 | W=[1, 0, 0, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_93(833))=8 rank=8 OK | dB[P]=10 1+a+W1=10 OK | m^2=0 True | 1.3s
p=11 a=1 n=17 M= 5 v=2 q=2057 m=467 d=8 | W=[1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_42(187))=8 rank=8 OK | dB[P]=10 1+a+W1=10 OK | m^2=0 True | 1.2s
p=5 a=1 n=27 M=13 v=3 q=3375 m=877 d=9 | W=[1, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_175(675))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 1.4s
p=5 a=1 n=39 M= 7 v=3 q=4875 m=682 d=12 | W=[1, 0, 0, 0, 1, 11] | ladder OK | W_P=11 W1(A_136(975))=11 rank=11 OK | dB[P]=13 1+a+W1=13 OK | m^2=0 True | 1.5s
p=7 a=1 n=17 M=13 v=3 q=5831 m=773 d=8 | W=[1, 0, 0, 0, 0, 0, 1, 8] | ladder OK | W_P=8 W1(A_110(833))=8 rank=8 OK | dB[P]=10 1+a+W1=10 OK | m^2=0 True | 1.4s
p=7 a=1 n=19 M=11 v=3 q=6517 m=731 d=9 | W=[1, 0, 0, 0, 0, 0, 1, 9] | ladder OK | W_P=9 W1(A_104(931))=9 rank=9 OK | dB[P]=11 1+a+W1=11 OK | m^2=0 True | 1.5s
