=== (A) p not dividing N: is the second layer the square of the first? ===
m     q      p  q'  d   W_1  W_2  dim(V*V) | W_2=d  W_2=dim(V*V)
47    475    5  19  9   5  20 | [1, 0, 0, 0, 1, 9, 9, 8] | 9    | W_{P+1}=9    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2+cte
142   475    5  19  9   5  20 | [1, 0, 0, 0, 1, 9, 9, 8] | 9    | W_{P+1}=9    <S_2^0>=9   <hat^2>=8   +cte=9    hat^2+cte
57    575    5  23  11  5  20 | [1, 0, 0, 0, 1, 10, 11, 11] | 10   | W_{P+1}=11   <S_2^0>=11  <hat^2>=11  +cte=12   hat^2
172   575    5  23  11  5  20 | [1, 0, 0, 0, 1, 10, 11, 11] | 10   | W_{P+1}=11   <S_2^0>=11  <hat^2>=11  +cte=12   hat^2
67    675    5  27  9   5  20 | [1, 0, 0, 0, 1, 9, 9, 8] | 9    | W_{P+1}=9    <S_2^0>=9   <hat^2>=9   +cte=10   hat^2
202   675    5  27  9   5  20 | [1, 0, 0, 0, 1, 9, 9, 8] | 9    | W_{P+1}=9    <S_2^0>=9   <hat^2>=9   +cte=10   hat^2
17    245    7  5   2   7  42 | [1, 0, 0, 0, 0, 0, 1, 2, 2, 2] | 2    | W_{P+1}=2    <S_2^0>=2   <hat^2>=2   +cte=3    hat^2
52    245    7  5   2   7  42 | [1, 0, 0, 0, 0, 0, 1, 2, 2, 2] | 2    | W_{P+1}=2    <S_2^0>=2   <hat^2>=2   +cte=3    hat^2
38    539    7  11  5   7  42 | [1, 0, 0, 0, 0, 0, 1, 5, 5, 5] | 5    | W_{P+1}=5    <S_2^0>=5   <hat^2>=5   +cte=6    hat^2
115   539    7  11  5   7  42 | [1, 0, 0, 0, 0, 0, 1, 5, 5, 5] | 5    | W_{P+1}=5    <S_2^0>=5   <hat^2>=5   +cte=6    hat^2
45    637    7  13  6   7  42 | [1, 0, 0, 0, 0, 0, 1, 6, 5, 6] | 6    | W_{P+1}=5    <S_2^0>=4   <hat^2>=4   +cte=5    hat^2+cte
136   637    7  13  6   7  42 | [1, 0, 0, 0, 0, 0, 1, 6, 5, 6] | 6    | W_{P+1}=5    <S_2^0>=5   <hat^2>=4   +cte=5    hat^2+cte
59    833    7  17  8   7  42 | [1, 0, 0, 0, 0, 0, 1, 8, 8, 8] | 8    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
178   833    7  17  8   7  42 | [1, 0, 0, 0, 0, 0, 1, 8, 8, 8] | 8    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
66    931    7  19  9   7  42 | [1, 0, 0, 0, 0, 0, 1, 9, 8, 9] | 9    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
199   931    7  19  9   7  42 | [1, 0, 0, 0, 0, 0, 1, 9, 8, 9] | 9    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
80    1127   7  23  11  7  42 | [1, 0, 0, 0, 0, 0, 1, 10, 11, 11] | 10   | W_{P+1}=11   <S_2^0>=11  <hat^2>=11  +cte=12   hat^2
241   1127   7  23  11  7  42 | [1, 0, 0, 0, 0, 0, 1, 10, 11, 11] | 10   | W_{P+1}=11   <S_2^0>=11  <hat^2>=11  +cte=12   hat^2
87    1225   7  25  10  7  42 | [1, 0, 0, 0, 0, 0, 1, 10, 10, 10] | 10   | W_{P+1}=10   <S_2^0>=10  <hat^2>=10  +cte=11   hat^2
262   1225   7  25  10  7  42 | [1, 0, 0, 0, 0, 0, 1, 10, 10, 10] | 10   | W_{P+1}=10   <S_2^0>=10  <hat^2>=10  +cte=11   hat^2
94    1323   7  27  9   7  42 | [1, 0, 0, 0, 0, 0, 1, 9, 8, 9] | 9    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
283   1323   7  27  9   7  42 | [1, 0, 0, 0, 0, 0, 1, 9, 8, 9] | 9    | W_{P+1}=8    <S_2^0>=8   <hat^2>=8   +cte=9    hat^2
